"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:3hzxHf9GbJwlyp7arOFBaH","I Used To Dance With My Daddy (Metal On Metal Remix)","spotify:artist:4foARo5aSfuIuDLupoxK4k","Datarock","spotify:album:2NoTMFp4YkY9sFwiVxXx2C","Mixed Up","spotify:artist:4foARo5aSfuIuDLupoxK4k","Datarock","2011-04-26","https://i.scdn.co/image/ab67616d0000b2739788ff0b9fdcaca9deec71ee","1","3","438213","","false","0","spotify:user:hcg.12","2021-10-04T03:00:45Z"
"spotify:track:6nz2t02jxDkCMCXzDD6r95","I Used To Dance With My Daddy (Subsource Remix)","spotify:artist:4foARo5aSfuIuDLupoxK4k","Datarock","spotify:album:2NoTMFp4YkY9sFwiVxXx2C","Mixed Up","spotify:artist:4foARo5aSfuIuDLupoxK4k","Datarock","2011-04-26","https://i.scdn.co/image/ab67616d0000b2739788ff0b9fdcaca9deec71ee","1","15","252725","","false","0","spotify:user:hcg.12","2021-10-04T03:00:45Z"
"spotify:track:7JXvqjiIw8qNOh5RfNypJn","Wanna Be A Star","spotify:artist:2JfrljViGl4PxMfa3Fd6kS","Walter Meego","spotify:album:1HUY64ehdirGZNUw1sgtWc","Romantic","spotify:artist:2JfrljViGl4PxMfa3Fd6kS","Walter Meego","2006-11-21","https://i.scdn.co/image/ab67616d0000b273d5cd751cf98659f45f492812","1","4","208773","https://p.scdn.co/mp3-preview/633baf1a293febf3742198181f003f2159a704bb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","8","spotify:user:hcg.12","2021-10-04T03:00:45Z"
"spotify:track:0urx8bELftkNbhsUi3rXPs","Kick It Complex","spotify:artist:1JPy5PsJtkhftfdr6saN2i, spotify:artist:6y6QM4mX5OsWxBIrtJztTH","Bassnectar, Persia","spotify:album:6li7sJrHHDr6b5RJMKIKa6","Underground Communication","spotify:artist:1JPy5PsJtkhftfdr6saN2i","Bassnectar","2007-05-08","https://i.scdn.co/image/ab67616d0000b27342749c61c6571b32b67edd05","1","11","287426","https://p.scdn.co/mp3-preview/eae026d944e38d952ce56600516a0730c9e14841?cid=9950ac751e34487dbbe027c4fd7f8e99","false","13","spotify:user:hcg.12","2021-10-04T03:00:45Z"
"spotify:track:4Qr23pInH2Ia4ugguiL55U","Bomb the Blocks - Ghislain Poirier Remix","spotify:artist:1JPy5PsJtkhftfdr6saN2i, spotify:artist:6y6QM4mX5OsWxBIrtJztTH","Bassnectar, Persia","spotify:album:69NqlfqO2C9YJc9pD1Tk8v","Bomb the Blocks","spotify:artist:1JPy5PsJtkhftfdr6saN2i","Bassnectar","2007-05-01","https://i.scdn.co/image/ab67616d0000b27337e3364019fb77155ba092e1","1","2","248087","https://p.scdn.co/mp3-preview/84f6f781604ed257bcd343ae30fca1a61f14a927?cid=9950ac751e34487dbbe027c4fd7f8e99","false","7","spotify:user:hcg.12","2021-10-04T03:00:45Z"
"spotify:track:4boecqGyOwPo3LQAXmYkCy","Yo","spotify:artist:1JPy5PsJtkhftfdr6saN2i, spotify:artist:3owOnUCZD2qFcf5RHbv1Zg","Bassnectar, Kristina Maria","spotify:album:6li7sJrHHDr6b5RJMKIKa6","Underground Communication","spotify:artist:1JPy5PsJtkhftfdr6saN2i","Bassnectar","2007-05-08","https://i.scdn.co/image/ab67616d0000b27342749c61c6571b32b67edd05","1","9","220360","https://p.scdn.co/mp3-preview/a9de8cd533f719c0d4c991c55da4e5c6f99554b7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","14","spotify:user:hcg.12","2021-10-04T03:00:45Z"
"spotify:track:7pFJKU9xKdSIsha40jWHof","Let The Beats Roll - Rennie Pilgrem Mix","spotify:artist:7mEVrXcsq3PjsKT3BXnhp0","Tim Deluxe","spotify:album:1OPG6hQVFSp2CDGOkqaCza","Let The Beats Roll","spotify:artist:7mEVrXcsq3PjsKT3BXnhp0","Tim Deluxe","2007-05-13","https://i.scdn.co/image/ab67616d0000b273a43650a7e4f813ec5f49d381","1","8","437186","","false","0","spotify:user:hcg.12","2021-10-04T03:00:45Z"
"spotify:track:6pFghJ3grXpr2YwHQIPUWf","Tokyo Traffic","spotify:artist:3H24Sx4OTtMrkpQlcpGLtu","Hexstatic","spotify:album:6rK7BZ8hh130CnXWTbEQA8","When Robots Go Bad","spotify:artist:3H24Sx4OTtMrkpQlcpGLtu","Hexstatic","2007-07-02","https://i.scdn.co/image/ab67616d0000b2733fb9171ec79882ad4a8ce428","1","3","259120","https://p.scdn.co/mp3-preview/cb811d588b1d7ceecfe9ca9fe0edd55ed79f1711?cid=9950ac751e34487dbbe027c4fd7f8e99","false","10","spotify:user:hcg.12","2021-10-04T03:00:45Z"
"spotify:track:5T3aESJeVvXyFW1bEEXcuz","Red Laser Beam","spotify:artist:3H24Sx4OTtMrkpQlcpGLtu","Hexstatic","spotify:album:6rK7BZ8hh130CnXWTbEQA8","When Robots Go Bad","spotify:artist:3H24Sx4OTtMrkpQlcpGLtu","Hexstatic","2007-07-02","https://i.scdn.co/image/ab67616d0000b2733fb9171ec79882ad4a8ce428","1","1","208573","https://p.scdn.co/mp3-preview/d7b4f89ef5d1cc9f5a854998da27e372a9c8d106?cid=9950ac751e34487dbbe027c4fd7f8e99","false","10","spotify:user:hcg.12","2021-10-04T03:00:45Z"
"spotify:track:4bLmvbBrA61yprAww8qfaM","Bust","spotify:artist:3H24Sx4OTtMrkpQlcpGLtu","Hexstatic","spotify:album:6rK7BZ8hh130CnXWTbEQA8","When Robots Go Bad","spotify:artist:3H24Sx4OTtMrkpQlcpGLtu","Hexstatic","2007-07-02","https://i.scdn.co/image/ab67616d0000b2733fb9171ec79882ad4a8ce428","1","13","226066","https://p.scdn.co/mp3-preview/33e45943d575e16ef2394b4507e4182f52923d2e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","6","spotify:user:hcg.12","2021-10-04T03:00:45Z"
